Year,Project Name,Token Ticker,Listing Date (First TT Data),Market Cap at Listing ($),Market Cap 12 Months After ($),FDV at Listing ($),FDV 12 Months After ($),MC / FDV at Listing,MC / FDV 12 Months After,Average Market Cap (Both Dates) ($),Sector / Vertical,Token Price at Listing ($),Token Price 12 Months After ($),Change in Token Price after 12 Months,Qualifies Because,Market Cap 6 Months After ($),Market Cap 24 Months After ($),FDV 6 Months After ($),FDV 24 Months After ($),Token Price 6 Months After ($),Token Price 24 Months After ($)
2023,Xpla,XPLA,12/22/23,"$107,071,297 ","$62,685,535 ","$527,680,548 ","$166,044,091 ",20.30%,37.80%,"$84,878,416 ",Layer 1 (blockchains-l1),$0.30 ,$0.10 ,-67%,MC at listing > $100M,"$58,849,026.00 ","$18,952,389.00 ","$290,026,245.68 ","$93,403,248.99 ",$0.10 ,$0.02 
2024,Xai,XAI,1/8/24,"$168,013,859 ","$170,174,951 ","$596,321,443 ","$353,015,925 ",28.20%,48.20%,"$169,094,405 ",Layer 3 (blockchains-l3),$0.60 ,$0.20 ,-67%,MC at listing > $100M,"$84,755,194.00 ","$33,239,905.00 ","$300,816,491.50 ","$117,976,387.38 ",$0.31 ,$0.02 
2024,Manta,MANTA,1/17/24,"$542,914,329 ","$286,518,449 ","$2,158,155,594 ","$760,624,550 ",25.20%,37.70%,"$414,716,389 ",Layer 2 (blockchains-l2),$2.20 ,$0.80 ,-64%,MC at listing > $100M,"$313,581,816.00 ","$37,884,549.00 ","$1,246,528,806.16 ","$150,596,046.16 ",$0.92 ,$0.08 
2024,Ondo,ONDO,1/19/24,"$283,687,411 ","$4,155,398,857 ","$1,987,061,764 ","$13,090,450,063 ",14.30%,31.70%,"$2,219,543,134 ",RWA / Real-World Assets,$0.20 ,$1.30 ,550%,MC at listing > $100M,"$1,521,000,442.00 ","$1,737,540,032.00 ","$10,653,704,408.92 ","$12,170,435,582.02 ",$1.05 ,$0.36 
2024,Threshold,THRESHOLD,1/20/24,"$285,727,538 ","$265,290,755 ","$329,407,390 ","$292,622,907 ",86.70%,90.70%,"$275,509,147 ",Bridge / Interoperability,$0.01 ,$0.01 ,0%,MC at listing > $100M,"$237,932,528.00 ","$107,795,620.00 ","$274,305,842.53 ","$124,274,594.20 ",$0.02 ,$0.01 
2024,Zkfair,ZKFAIR,1/23/24,"$134,018,317 ","$3,062,705 ","$133,952,759 ","$3,059,970 ",100.00%,100.10%,"$68,540,511 ",Layer 2 (blockchains-l2),$0.01 ,$0.01 ,0%,MC at listing > $100M,"$18,145,522.00 ","$221,844.00 ","$18,136,645.72 ","$221,735.48 ",$0.00 ,$0.00 
2024,Jupiter,JUPITER,1/30/24,"$899,991,947 ","$1,833,142,966 ","$6,625,616,516 ","$7,616,219,293 ",13.60%,24.10%,"$1,366,567,457 ",DEX Aggregator,$0.70 ,$1.10 ,57%,MC at listing > $100M,"$1,473,630,266.00 ","$647,939,313.00 ","$10,848,662,659.07 ","$4,770,039,807.45 ",$1.09 ,$0.20 
2024,Zetachain,ZETACHAIN,1/31/24,"$385,946,344 ","$277,547,244 ","$3,466,930,533 ","$919,027,906 ",11.10%,30.20%,"$331,746,794 ",Layer 1 (blockchains-l1),$1.70 ,$0.40 ,-76%,MC at listing > $100M,"$160,773,655.00 ","$84,162,990.00 ","$1,444,219,130.68 ","$756,030,583.83 ",$0.56 ,$0.07 
2024,Dymension,DYMENSION,2/7/24,"$833,399,451 ","$121,706,213 ","$5,714,744,327 ","$537,875,401 ",14.60%,22.60%,"$477,552,832 ",Layer 1 (blockchains-l1),$5.70 ,$0.50 ,-91%,MC at listing > $100M,"$231,928,682.00 ","$20,010,467.00 ","$1,590,369,561.84 ","$137,214,756.54 ",$1.19 ,$0.04 
2024,Pixels,PIXELS,2/18/24,"$433,264,771 ","$48,936,557 ","$2,784,641,722 ","$317,736,822 ",15.60%,15.40%,"$241,100,664 ",Gaming,$0.60 ,$0.10 ,-83%,MC at listing > $100M,"$110,750,326.00 ","$4,198,910.00 ","$711,804,880.40 ","$26,986,869.82 ",$0.14 ,$0.01 
2024,Starknet,STRK,2/19/24,"$1,398,712,548 ","$569,284,397 ","$19,470,100,168 ","$2,204,995,097 ",7.20%,25.80%,"$983,998,473 ",Layer 2 (blockchains-l2),$1.90 ,$0.20 ,-89%,MC at listing > $100M,"$581,956,360.00 ","$250,249,764.00 ","$8,100,841,476.55 ","$3,483,480,561.51 ",$0.36 ,$0.05 
2024,Aevo,AEVO,3/12/24,"$353,979,345 ","$104,998,571 ","$3,222,647,443 ","$116,498,511 ",11.00%,90.10%,"$229,488,958 ",Derivatives,$3.20 ,$0.10 ,-97%,MC at listing > $100M,"$290,778,911.00 ","$23,364,395.00 ","$2,647,267,212.76 ","$212,710,738.26 ",$0.33 ,$0.03 
2024,Etherfi,ETHERFI,3/17/24,"$364,588,986 ","$159,314,264 ","$3,143,911,273 ","$687,494,387 ",11.60%,23.20%,"$261,951,625 ",Liquid Staking,$3.10 ,$0.70 ,-77%,MC at listing > $100M,"$219,968,109.00 ","$436,327,997.00 ","$1,896,821,473.33 ","$3,762,528,658.76 ",$1.26 ,$0.59 
2024,Virtualsprotocol,VIRTUALSPROTOCOL,3/22/24,"$89,122,646 ","$467,364,302 ","$89,169,215 ","$720,384,705 ",99.90%,64.90%,"$278,243,474 ",Infrastructure,$0.10 ,$0.70 ,600%,MC at 12 months > $100M,"$33,642,985.00 ","$449,992,783.00 ","$33,660,564.37 ","$450,227,916.44 ",$0.03 ,$0.68 
2024,Ethena,ETHENA,4/1/24,"$1,121,772,058 ","$1,960,479,120 ","$11,808,868,891 ","$5,551,317,897 ",9.50%,35.30%,"$1,541,125,589 ",Stablecoin Issuer,$0.80 ,$0.40 ,-50%,MC at listing > $100M,"$698,992,998.00 ","$770,675,303.00 ","$7,358,283,360.90 ","$8,112,881,352.10 ",$0.37 ,$0.09 
2024,Wormhole,WORMHOLE,4/2/24,"$2,392,085,861 ","$230,777,159 ","$13,314,369,490 ","$787,072,756 ",18.00%,29.30%,"$1,311,431,510 ",Infrastructure,$1.30 ,$0.10 ,-92%,MC at listing > $100M,"$788,278,612.00 ","$83,518,794.00 ","$4,387,565,209.24 ","$464,866,291.30 ",$0.31 ,$0.01 
2024,Tensor,TENSOR,4/10/24,"$205,145,497 ","$40,597,708 ","$1,640,366,069 ","$121,345,211 ",12.50%,33.50%,"$122,871,602 ",NFT,$1.60 ,$0.10 ,-94%,MC at listing > $100M,"$38,909,014.00 ","$17,431,827.00 ","$311,120,776.61 ","$139,386,815.45 ",$0.31 ,$0.05 
2024,Safe,SAFE,4/22/24,"$1,009,252,025 ","$246,116,543 ","$2,363,718,084 ","$434,162,467 ",42.70%,56.70%,"$627,684,284 ",Infrastructure,$2.40 ,$0.40 ,-83%,MC at listing > $100M,"$545,822,695.00 ","$116,600,976.00 ","$1,278,343,706.89 ","$273,085,244.08 ",$1.11 ,$0.16 
2024,Friendtech,FRIENDTECH,5/2/24,"$124,814,897 ",N/A,"$124,812,373 ",N/A,100.00%,N/A,N/A,Social,$1.70 ,N/A,N/A,MC at listing > $100M,"$7,784,812.00 ",N/A,"$7,784,654.58 ",N/A,$0.08 ,N/A
2024,Bouncebit,BOUNCEBIT,5/12/24,"$181,273,122 ",N/A,"$929,723,203 ",N/A,19.50%,N/A,N/A,Layer 1 (blockchains-l1),$0.40 ,N/A,N/A,MC at listing > $100M,"$147,912,744.00 ",N/A,"$758,622,726.85 ",N/A,$0.36 ,N/A
2024,Renzo,RENZO,5/15/24,"$132,123,422 ",N/A,"$1,143,152,874 ",N/A,11.60%,N/A,N/A,Liquid Staking,$0.10 ,N/A,N/A,MC at listing > $100M,"$61,415,070.00 ",N/A,"$531,372,959.58 ",N/A,$0.04 ,N/A
2024,Driftprotocol,DRIFTPROTOCOL,5/17/24,"$57,750,234 ",N/A,"$345,588,663 ",N/A,16.70%,N/A,N/A,Derivatives,$0.30 ,N/A,N/A,MC at 12 months > $100M,"$314,136,731.00 ",N/A,"$1,879,855,462.85 ",N/A,$1.23 ,N/A
2024,Mythos,MYTHOS,5/20/24,"$231,514,788 ",N/A,"$468,342,731 ",N/A,49.40%,N/A,N/A,Layer 2 (blockchains-l2),$0.50 ,N/A,N/A,MC at listing > $100M,"$175,853,637.00 ",N/A,"$355,743,031.88 ",N/A,$0.24 ,N/A
2024,Taiko,TAIKO,6/7/24,"$160,408,675 ",N/A,"$2,552,970,490 ",N/A,6.30%,N/A,N/A,Layer 2 (blockchains-l2),$2.60 ,N/A,N/A,MC at listing > $100M,"$199,851,203.00 ",N/A,"$3,180,714,656.80 ",N/A,$2.44 ,N/A
2024,Ionet,IONET,6/10/24,"$396,289,142 ",N/A,"$2,084,589,669 ",N/A,19.00%,N/A,N/A,Infrastructure,$4.20 ,N/A,N/A,MC at listing > $100M,"$391,059,096.00 ",N/A,"$2,057,078,191.38 ",N/A,$3.11 ,N/A
2024,Aethir,AETHIR,6/11/24,"$241,084,770 ",N/A,"$2,648,183,493 ",N/A,9.10%,N/A,N/A,Infrastructure,$0.10 ,N/A,N/A,MC at listing > $100M,"$393,897,986.00 ",N/A,"$4,326,752,554.51 ",N/A,$0.08 ,N/A
2024,Zksyncera,ZKSYNCERA,6/16/24,"$787,604,180 ",N/A,"$4,510,349,364 ",N/A,17.50%,N/A,N/A,Layer 2 (blockchains-l2),$0.20 ,N/A,N/A,MC at listing > $100M,"$849,240,033.00 ",N/A,"$4,863,317,564.83 ",N/A,$0.23 ,N/A
2024,Layerzero,LAYERZERO,6/19/24,"$861,394,188 ",N/A,"$3,441,747,411 ",N/A,25.00%,N/A,N/A,Infrastructure,$3.40 ,N/A,N/A,MC at listing > $100M,"$663,738,135.00 ",N/A,"$2,652,001,882.00 ",N/A,$5.99 ,N/A
2024,Blast,BLAST,6/26/24,"$468,189,025 ",N/A,"$2,724,523,449 ",N/A,17.20%,N/A,N/A,Layer 2 (blockchains-l2),$0.02 ,N/A,N/A,MC at listing > $100M,"$241,010,843.00 ",N/A,"$1,402,509,794.45 ",N/A,$0.01 ,N/A
2024,Merlinchain,MERLINCHAIN,6/26/24,"$102,037,622 ",N/A,"$594,554,962 ",N/A,17.20%,N/A,N/A,Layer 2 (blockchains-l2),$0.30 ,N/A,N/A,MC at listing > $100M,"$126,460,688.00 ",N/A,"$736,863,796.65 ",N/A,$0.26 ,N/A
2024,Gravityalpha,GRAVITYALPHA,7/17/24,"$487,498,713 ",N/A,"$811,926,404 ",N/A,60.00%,N/A,N/A,Layer 2 (blockchains-l2),$0.10 ,N/A,N/A,MC at listing > $100M,"$215,360,335.00 ",N/A,"$358,681,444.07 ",N/A,$0.03 ,N/A
2024,Uxlink,UXLINK,8/8/24,"$28,441,818 ",N/A,"$167,100,585 ",N/A,17.00%,N/A,N/A,Social,$0.20 ,N/A,N/A,MC at 12 months > $100M,"$229,377,320.00 ",N/A,"$1,347,631,306.75 ",N/A,$0.68 ,N/A
2024,Aleo,ALEO,9/18/24,"$576,241,918 ",N/A,"$14,500,000,000 ",N/A,4.00%,N/A,N/A,Layer 1 (blockchains-l1),$2.90 ,N/A,N/A,MC at 12 months > $100M,"$94,838,905.00 ",N/A,"$1,377,310,000.00 ",N/A,$0.28 ,N/A
2024,MakerDAO,MKR,9/23/24,"$1,396,648,945 ",N/A,"$1,591,144,599 ",N/A,87.80%,N/A,N/A,Stablecoin Issuer,$0.10 ,N/A,N/A,MC at 12 months > $100M,"$1,048,674,272.00 ",N/A,"$1,243,901,076.91 ",N/A,"$1,237.00 ",N/A
2024,Eigenlayer,EIGENLAYER,9/30/24,"$742,784,646 ",N/A,"$6,718,733,795 ",N/A,11.10%,N/A,N/A,Liquid Staking,$4.00 ,N/A,N/A,MC at listing > $100M,"$230,568,024.00 ",N/A,"$2,085,564,346.59 ",N/A,$0.95 ,N/A
2024,Debridge,DEBRIDGE,10/16/24,"$66,834,862 ",N/A,"$371,780,453 ",N/A,18.00%,N/A,N/A,Bridge / Interoperability,$0.03 ,N/A,N/A,MC at 12 months > $100M,"$37,876,624.00 ",N/A,"$210,695,257.05 ",N/A,$0.02 ,N/A
2024,Scroll,SCROLL,10/21/24,"$217,834,346 ",N/A,"$1,150,307,738 ",N/A,18.90%,N/A,N/A,Layer 2 (blockchains-l2),$1.20 ,N/A,N/A,MC at listing > $100M,"$47,587,141.00 ",N/A,"$251,291,210.62 ",N/A,$0.25 ,N/A
2024,Grass,GRASS,10/27/24,"$217,751,047 ",N/A,"$899,008,049 ",N/A,24.20%,N/A,N/A,Layer 2 (blockchains-l2),$0.90 ,N/A,N/A,MC at listing > $100M,"$483,141,922.00 ",N/A,"$1,994,702,127.37 ",N/A,$1.75 ,N/A
2024,Kaia,KAIA,10/30/24,"$745,101,310 ",N/A,"$746,266,724 ",N/A,99.80%,N/A,N/A,Layer 1 (blockchains-l1),$0.10 ,N/A,N/A,MC at listing > $100M,"$676,373,575.00 ",N/A,"$677,431,491.85 ",N/A,$0.12 ,N/A
2024,Carv,CARV,11/6/24,"$114,390,870 ",N/A,"$840,523,973 ",N/A,13.60%,N/A,N/A,Infrastructure,$0.80 ,N/A,N/A,MC at listing > $100M,"$91,608,430.00 ",N/A,"$673,122,614.98 ",N/A,$0.36 ,N/A
2024,Maple,MAPLE,11/16/24,"$65,429,037 ",N/A,"$265,909,210 ",N/A,24.60%,N/A,N/A,Lending,$0.20 ,N/A,N/A,MC at 12 months > $100M,"$347,310,711.00 ",N/A,"$1,411,500,474.73 ",N/A,$0.32 ,N/A
2024,Morpho,MORPHO,11/25/24,"$113,675,372 ",N/A,"$944,730,616 ",N/A,12.00%,N/A,N/A,Lending,$0.90 ,N/A,N/A,MC at listing > $100M,"$411,658,934.00 ",N/A,"$3,421,205,415.54 ",N/A,$1.51 ,N/A
2024,Zircuit,ZIRCUIT,11/27/24,"$184,499,073 ",N/A,"$839,308,053 ",N/A,22.00%,N/A,N/A,Layer 2 (blockchains-l2),$0.10 ,N/A,N/A,MC at listing > $100M,"$93,401,986.00 ",N/A,"$424,896,655.26 ",N/A,$0.04 ,N/A
2024,Hyperliquid,HYPERLIQUID,11/28/24,"$2,173,806,563 ",N/A,"$6,512,646,545 ",N/A,33.40%,N/A,N/A,Derivatives,$6.50 ,N/A,N/A,MC at listing > $100M,"$12,031,116,931.00 ",N/A,"$36,044,795,082.89 ",N/A,$36.02 ,N/A
2024,Synfutures,SYNFUTURES,12/5/24,"$127,877,991 ",N/A,"$1,074,650,700 ",N/A,11.90%,N/A,N/A,Derivatives,$0.10 ,N/A,N/A,MC at listing > $100M,"$18,573,923.00 ",N/A,"$156,090,029.23 ",N/A,$0.01 ,N/A
2024,Movement,MOVEMENT,12/8/24,"$1,647,003,778 ",N/A,"$7,296,129,894 ",N/A,22.60%,N/A,N/A,Layer 1 (blockchains-l1),$0.70 ,N/A,N/A,MC at listing > $100M,"$366,787,097.00 ",N/A,"$1,624,845,272.91 ",N/A,$0.14 ,N/A
2024,Magiceden,MAGICEDEN,12/11/24,"$694,780,422 ",N/A,"$5,323,697,409 ",N/A,13.10%,N/A,N/A,NFT,$5.30 ,N/A,N/A,MC at listing > $100M,"$138,783,459.00 ",N/A,"$1,063,416,753.98 ",N/A,$0.92 ,N/A
2024,Usual,USUAL,12/17/24,"$447,700,830 ",N/A,"$456,201,897 ",N/A,98.10%,N/A,N/A,Stablecoin Issuer,$1.00 ,N/A,N/A,MC at listing > $100M,"$87,539,022.00 ",N/A,"$89,201,237.13 ",N/A,$0.09 ,N/A
2024,Vana,VANA,12/17/24,"$550,220,667 ",N/A,"$2,130,420,256 ",N/A,25.80%,N/A,N/A,Layer 1 (blockchains-l1),$17.80 ,N/A,N/A,MC at listing > $100M,"$159,544,879.00 ",N/A,"$617,747,864.35 ",N/A,$5.18 ,N/A
2024,Fuelnetwork,FUELNETWORK,12/18/24,"$174,377,929 ",N/A,"$492,143,512 ",N/A,35.40%,N/A,N/A,Layer 2 (blockchains-l2),$0.10 ,N/A,N/A,MC at listing > $100M,"$48,224,041.00 ",N/A,"$136,101,793.60 ",N/A,$0.01 ,N/A
2024,Redbellynetwork,REDBELLYNETWORK,12/18/24,"$286,432,387 ",N/A,"$2,805,457,964 ",N/A,10.20%,N/A,N/A,Layer 1 (blockchains-l1),$0.30 ,N/A,N/A,MC at listing > $100M,"$21,017,605.00 ",N/A,"$205,856,634.96 ",N/A,$0.02 ,N/A
2025,Sonic,SONIC,1/3/25,"$3,144,502,271 ",N/A,"$3,141,873,303 ",N/A,100.10%,N/A,N/A,Layer 1 (blockchains-l1),$1.00 ,N/A,N/A,MC at listing > $100M,"$1,047,208,327.00 ",N/A,"$1,046,332,806.19 ",N/A,$0.32 ,N/A
2025,Solv,SOLV,1/16/25,"$198,492,121 ",N/A,"$1,102,972,053 ",N/A,18.00%,N/A,N/A,Liquid Staking,$0.10 ,N/A,N/A,MC at listing > $100M,"$64,077,586.00 ",N/A,"$356,063,435.80 ",N/A,$0.04 ,N/A
2025,Plumenetwork,PLUMENETWORK,1/20/25,"$307,027,730 ",N/A,"$1,535,138,652 ",N/A,20.00%,N/A,N/A,Layer 1 (blockchains-l1),$0.20 ,N/A,N/A,MC at listing > $100M,"$276,913,999.00 ",N/A,"$1,384,569,996.80 ",N/A,$0.11 ,N/A
2025,Venice,VENICE,1/28/25,"$234,090,917 ",N/A,"$920,945,464 ",N/A,25.40%,N/A,N/A,Infrastructure,$9.20 ,N/A,N/A,MC at listing > $100M,"$111,315,946.00 ",N/A,"$437,932,051.59 ",N/A,$3.43 ,N/A
2025,Coreum,COREUM,2/3/25,"$120,902,861 ",N/A,"$121,093,784 ",N/A,99.80%,N/A,N/A,Layer 1 (blockchains-l1),$0.20 ,N/A,N/A,MC at listing > $100M,"$101,581,130.00 ",N/A,"$101,741,541.21 ",N/A,$0.16 ,N/A
2025,Berachain,BERACHAIN,2/5/25,"$917,570,038 ",N/A,"$4,291,110,336 ",N/A,21.40%,N/A,N/A,Layer 1 (blockchains-l1),$8.60 ,N/A,N/A,MC at listing > $100M,"$231,801,295.00 ",N/A,"$1,084,042,516.30 ",N/A,$1.89 ,N/A
2025,B3,B3,2/9/25,"$110,064,061 ",N/A,"$533,078,835 ",N/A,20.60%,N/A,N/A,Layer 3 (blockchains-l3),$0.01 ,N/A,N/A,MC at listing > $100M,"$91,217,792.00 ",N/A,"$441,799,746.88 ",N/A,$0.00 ,N/A
2025,Solayer,SOLAYER,2/10/25,"$223,493,735 ",N/A,"$1,030,056,534 ",N/A,21.70%,N/A,N/A,Liquid Staking,$1.00 ,N/A,N/A,MC at listing > $100M,"$135,366,581.00 ",N/A,"$623,888,769.16 ",N/A,$0.65 ,N/A
2025,Kaito,KAITO,2/19/25,"$402,098,894 ",N/A,"$1,665,772,172 ",N/A,24.10%,N/A,N/A,Infrastructure,$1.70 ,N/A,N/A,MC at listing > $100M,"$257,448,134.00 ",N/A,"$1,066,528,517.61 ",N/A,$1.07 ,N/A
2025,Lamina1,LAMINA1,2/22/25,"$115,964,622 ",N/A,"$115,958,262 ",N/A,100.00%,N/A,N/A,Layer 1 (blockchains-l1),$0.10 ,N/A,N/A,MC at listing > $100M,"$1,091,877.00 ",N/A,"$1,091,817.12 ",N/A,$0.01 ,N/A
2025,Redstone,REDSTONE,3/5/25,"$191,275,065 ",N/A,"$683,053,679 ",N/A,28.00%,N/A,N/A,Oracle,$0.70 ,N/A,N/A,MC at listing > $100M,"$113,722,481.00 ",N/A,"$406,109,175.98 ",N/A,$0.41 ,N/A
2025,Nillion,NILLION,3/23/25,"$140,859,439 ",N/A,"$727,038,786 ",N/A,19.40%,N/A,N/A,Layer 1 (blockchains-l1),$0.70 ,N/A,N/A,MC at listing > $100M,"$61,411,685.00 ",N/A,"$316,973,269.42 ",N/A,$0.31 ,N/A
2025,Walrus,WALRUS,3/26/25,"$691,894,644 ",N/A,"$2,736,764,426 ",N/A,25.30%,N/A,N/A,Infrastructure,$0.50 ,N/A,N/A,MC at listing > $100M,"$533,538,460.00 ",N/A,"$2,110,392,225.02 ",N/A,$0.37 ,N/A
2025,Babylon,BABYLON,4/9/25,"$195,057,154 ",N/A,"$851,138,333 ",N/A,22.90%,N/A,N/A,Layer 1 (blockchains-l1),$0.10 ,N/A,N/A,MC at listing > $100M,"$131,621,723.00 ",N/A,"$574,335,734.95 ",N/A,$0.05 ,N/A
2025,Initia,INITIA,4/23/25,"$110,739,177 ",N/A,"$745,889,953 ",N/A,14.80%,N/A,N/A,Layer 1 (blockchains-l1),$0.70 ,N/A,N/A,MC at listing > $100M,"$26,739,948.00 ",N/A,"$180,108,423.21 ",N/A,$0.16 ,N/A
2025,Sophon,SOPHON,5/27/25,"$133,026,710 ",N/A,"$664,056,263 ",N/A,20.00%,N/A,N/A,Layer 2 (blockchains-l2),$0.10 ,N/A,N/A,MC at listing > $100M,"$34,115,397.00 ",N/A,"$170,300,709.10 ",N/A,$0.02 ,N/A
2025,Pumpfun,PUMPFUN,7/13/25,"$2,066,813,469 ",N/A,"$5,838,724,864 ",N/A,35.40%,N/A,N/A,Exchange (CEX/DEX),$0.01 ,N/A,N/A,MC at listing > $100M,"$1,431,435,772.00 ",N/A,"$4,043,789,997.77 ",N/A,$0.00 ,N/A
2025,Treehousefinance,TREEHOUSEFINANCE,7/28/25,"$105,200,315 ",N/A,"$674,037,627 ",N/A,15.60%,N/A,N/A,Liquid Staking,$0.70 ,N/A,N/A,MC at listing > $100M,"$14,398,604.00 ",N/A,"$92,254,484.91 ",N/A,$0.09 ,N/A
2025,Centrifuge,CENTRIFUGE,8/6/25,"$160,322,353 ",N/A,"$193,451,820 ",N/A,82.90%,N/A,N/A,RWA / Real-World Assets,$0.30 ,N/A,N/A,MC at listing > $100M,"$40,767,954.00 ",N/A,"$49,192,359.96 ",N/A,$0.07 ,N/A
2025,Worldlibertyfinancial,WORLDLIBERTYFINANCIAL,8/31/25,"$6,656,403,821 ",N/A,"$23,382,691,936 ",N/A,28.50%,N/A,N/A,Stablecoin Issuer,$0.20 ,N/A,N/A,MC at listing > $100M,"$3,069,810,990.00 ",N/A,"$10,783,667,369.23 ",N/A,$0.11 ,N/A
2025,Linea,LINEA,9/9/25,"$368,147,063 ",N/A,"$1,711,931,562 ",N/A,21.50%,N/A,N/A,Layer 2 (blockchains-l2),$0.02 ,N/A,N/A,MC at listing > $100M,"$69,506,348.00 ",N/A,"$323,213,527.58 ",N/A,$0.00 ,N/A
2025,Lombard,LOMBARD,9/17/25,"$236,521,024 ",N/A,"$1,051,558,573 ",N/A,22.50%,N/A,N/A,Liquid Staking,$1.10 ,N/A,N/A,MC at listing > $100M,"$775,159,878.00 ",N/A,"$3,446,315,263.53 ",N/A,"$74,885.84 ",N/A
2025,Syndicate,SYNDICATE,9/17/25,"$451,787,047 ",N/A,"$943,506,805 ",N/A,47.90%,N/A,N/A,Social,$0.90 ,N/A,N/A,MC at listing > $100M,"$21,835,749.00 ",N/A,"$45,601,523.79 ",N/A,$0.05 ,N/A
2025,Aster,ASTER,9/18/25,"$1,458,418,856 ",N/A,"$7,025,067,081 ",N/A,20.80%,N/A,N/A,Derivatives,$0.90 ,N/A,N/A,MC at listing > $100M,"$1,861,174,733.00 ",N/A,"$8,965,104,431.42 ",N/A,$0.76 ,N/A
2025,0Glabs,0GLABS,9/21/25,"$1,006,032,059 ",N/A,"$4,718,786,544 ",N/A,21.30%,N/A,N/A,Layer 1 (blockchains-l1),$4.70 ,N/A,N/A,MC at listing > $100M,"$114,224,315.00 ",N/A,"$535,768,374.18 ",N/A,$0.54 ,N/A
2025,Plasma,PLASMA,9/24/25,"$2,306,436,984 ",N/A,"$12,601,226,222 ",N/A,18.30%,N/A,N/A,Layer 1 (blockchains-l1),$1.30 ,N/A,N/A,MC at listing > $100M,"$216,162,002.00 ",N/A,"$1,181,001,825.20 ",N/A,$0.10 ,N/A
2025,Doublezero,DOUBLEZERO,10/1/25,"$2,100,464,806 ",N/A,"$6,046,915,458 ",N/A,34.70%,N/A,N/A,Infrastructure,$0.60 ,N/A,N/A,MC at listing > $100M,"$279,310,722.00 ",N/A,"$804,092,654.93 ",N/A,$0.08 ,N/A
2025,Htxdao,HTXDAO,10/10/25,"$1,933,755,267 ",N/A,"$1,930,944,092 ",N/A,100.10%,N/A,N/A,Exchange (CEX/DEX),$0.01 ,N/A,N/A,MC at listing > $100M,"$1,607,416,588.00 ",N/A,"$1,605,079,824.19 ",N/A,$0.00 ,N/A
2025,Limitless,LIMITLESS,10/21/25,"$102,599,654 ",N/A,"$292,767,500 ",N/A,35.00%,N/A,N/A,Prediction Markets,$0.30 ,N/A,N/A,MC at listing > $100M,"$105,192.00 ",N/A,"$300,164.74 ",N/A,$0.00 ,N/A
2025,Meteora,METEORA,10/22/25,"$264,579,556 ",N/A,"$552,193,876 ",N/A,47.90%,N/A,N/A,Exchange (CEX/DEX),$0.60 ,N/A,N/A,MC at listing > $100M,"$92,016,603.00 ",N/A,"$192,044,334.17 ",N/A,$0.18 ,N/A
2025,Cantonnetwork,CANTONNETWORK,11/9/25,"$4,148,336,979 ",N/A,"$4,127,575,240 ",N/A,100.50%,N/A,N/A,Layer 1 (blockchains-l1),$0.10 ,N/A,N/A,MC at listing > $100M,N/A,N/A,N/A,N/A,N/A,N/A
2025,Monad,MONAD,11/23/25,"$324,661,243 ",N/A,"$2,997,633,932 ",N/A,10.80%,N/A,N/A,Layer 1 (blockchains-l1),$0.03 ,N/A,N/A,MC at listing > $100M,N/A,N/A,N/A,N/A,N/A,N/A
2025,Stable,STABLE,12/7/25,"$390,966,308 ",N/A,"$2,156,992,130 ",N/A,18.10%,N/A,N/A,Layer 1 (blockchains-l1),$0.02 ,N/A,N/A,MC at listing > $100M,N/A,N/A,N/A,N/A,N/A,N/A
2025,Midnight,MIDNIGHT,12/8/25,"$660,126,838 ",N/A,"$956,633,257 ",N/A,69.00%,N/A,N/A,Layer 1 (blockchains-l1),$0.10 ,N/A,N/A,MC at listing > $100M,N/A,N/A,N/A,N/A,N/A,N/A
2025,Lighter,LIGHTER,12/29/25,"$686,621,472 ",N/A,"$2,727,068,897 ",N/A,25.20%,N/A,N/A,Derivatives,$2.70 ,N/A,N/A,MC at listing > $100M,N/A,N/A,N/A,N/A,N/A,N/A
2026,Flyingtulip,FLYINGTULIP,2/24/26,"$205,011,025 ",N/A,"$993,050,010 ",N/A,20.60%,N/A,N/A,Asset Management,$0.10 ,N/A,N/A,MC at listing > $100M,N/A,N/A,N/A,N/A,N/A,N/A
2026,Edgex,EDGEX,3/30/26,"$138,352,768 ",N/A,"$658,095,611 ",N/A,21.00%,N/A,N/A,Derivatives,$0.70 ,N/A,N/A,MC at listing > $100M,N/A,N/A,N/A,N/A,N/A,N/A
